house_index,url,bedrooms,property_type,property_subtype,locality,postal_code,street,number,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
0,https://www.immoweb.be/en/classified/villa/for-sale/lembeke/9971/20322195,4,HOUSE,VILLA,LEMBEKE,9971,Gravin Madeleine d'Alcantaralaan,45,1,4,667000,0,1,,1,1,TO_RENOVATE,0,0,0,8597,255,8597,
2,https://www.immoweb.be/en/classified/villa/for-sale/diegem/1831/20322653,7,HOUSE,VILLA,DIEGEM,1831,Pieter Schroonsstraat,82,1,4,895000,0,1,,0,0,GOOD,0,0,0,1788,310,1788,
1,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20318979,6,HOUSE,HOUSE,Zottegem,9620,Rodestraat,126,1,,795000,0,0,0,0,0,GOOD,0,0,0,2262,296,2262,
6,https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20322400,9,HOUSE,HOUSE,Leuven,3000,Andreas Vesaliusstraat,41,1,,2150000,1,1,,0,0,AS_NEW,0,0,0,145,250,145,
7,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20304337,3,HOUSE,HOUSE,Duffel,2570,Mijlstraat,8,1,3,438000,0,1,40,0,0,GOOD,1,400,0,722,168,722,
5,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/20321706,4,HOUSE,VILLA,Oedelem,8730,Egyptestraat,30,0,4,995000,0,1,,1,1,GOOD,0,0,0,19168,300,19168,
3,https://www.immoweb.be/en/classified/villa/for-sale/heverlee/3001/20322383,5,HOUSE,VILLA,Heverlee,3001,Sint-Jansbergsesteenweg,415,1,,985000,0,1,,0,0,AS_NEW,0,0,0,10309,600,10309,
4,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/20317875,3,HOUSE,VILLA,Dilbeek,1700,Lange Haagstraat,55,0,4,995000,0,1,,0,0,AS_NEW,0,0,1,1558,293,1558,
9,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20311625,4,HOUSE,HOUSE,Liège,4000,Rue Auguste Donnay,55,1,2,275000,0,1,5,0,0,TO_RENOVATE,1,100,0,192,207,192,
8,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/20301351,5,HOUSE,APARTMENT_BLOCK,Bruxelles,1000,Rue de la Cigogne,3,1,2,695000,1,1,20,0,0,AS_NEW,0,0,0,230,230,230,
11,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20312906,3,HOUSE,HOUSE,ANZEGEM,8570,Kapellestraat,37b,1,3,325000,0,1,15,0,0,GOOD,1,125,0,196,140,196,
10,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20313035,2,APARTMENT,APARTMENT,ANTWERPEN,2020,Vlaamsekunstlaan,74,1,2,319000,0,1,3,0,0,GOOD,0,0,0,,,,
13,https://www.immoweb.be/en/classified/villa/for-sale/oostakker/9041/20310520,3,HOUSE,VILLA,Oostakker,9041,Venusschoentjestraat,13,1,,795000,0,1,40,0,0,GOOD,1,1000,0,1000,308,1000,
15,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20305476,2,APARTMENT,APARTMENT,Hasselt,3500,Plantenstraat,27,1,,295000,0,1,3,0,0,JUST_RENOVATED,0,0,0,,100,,
14,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20305572,2,APARTMENT,APARTMENT,Oostende,8400,Karel Van de Woestijnestraat,1,0,,219000,0,1,4,0,0,GOOD,0,0,0,,62,,
12,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/20313977,3,HOUSE,HOUSE,Hoeilaart,1560,Edgard Sohiestraat,16,1,4,469000,0,1,17,0,0,TO_RENOVATE,0,0,0,1360,173,1360,
17,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/20308645,4,HOUSE,HOUSE,Ans,4430,Rue Bonne Nouvelle,57,1,4,299000,0,1,6,0,0,GOOD,1,1629,0,2498,118,2498,
16,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20307226,3,HOUSE,HOUSE,Seraing,4100,Rue Fanny,117,1,2,236000,0,0,0,0,0,GOOD,1,160,0,284,131,284,
19,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20307640,4,HOUSE,HOUSE,Gent,9000,Schaliestraat,8,0,2,345000,0,0,0,0,0,GOOD,1,38,0,108,145,108,
20,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/laeken/1020/20309360,5,HOUSE,MIXED_USE_BUILDING,Laeken,1020,Avenue Houba de Strooper,787,1,2,550000,0,1,5,0,0,TO_RENOVATE,0,0,0,194,425,194,
18,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/20309260,2,HOUSE,HOUSE,BORNEM,2880,Sint-Amandsesteenweg,281,1,,340000,0,1,70,0,0,GOOD,0,0,0,287,187,287,
22,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20321664,1,APARTMENT,APARTMENT,ANTWERPEN,2000,Jan van Gentstraat,29,1,,190000,0,0,0,0,0,GOOD,0,0,0,,53,,
21,https://www.immoweb.be/en/classified/apartment/for-sale/ciney/5590/20321000,2,APARTMENT,APARTMENT,Ciney,5590,rue du Centre,17,1,2,147000,0,1,2,0,0,TO_RENOVATE,0,0,0,,72,,
24,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20321835,1,APARTMENT,APARTMENT,Etterbeek,1040,Avenue Nouvelle,33,1,2,230000,0,1,12,0,0,TO_RENOVATE,1,50,0,,80,,
23,https://www.immoweb.be/en/classified/ground-floor/for-sale/ottignies-louvain-la-neuve/1348/20322186,1,APARTMENT,GROUND_FLOOR,Ottignies-Louvain-la-Neuve,1348,Rue Charles de Loupoigne 9,-,1,2,199000,0,1,8,0,0,TO_BE_DONE_UP,1,124,0,,42,,
25,https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20321468,2,APARTMENT,APARTMENT,Hooglede,8830,Leenbosstraat,2,1,,289000,0,0,0,0,0,GOOD,1,22,0,,107,,
28,https://www.immoweb.be/en/classified/house/for-sale/wevelgem/8560/20319524,3,HOUSE,HOUSE,WEVELGEM,8560,Guido Gezellestraat,14,0,3,185000,0,0,0,0,0,TO_RENOVATE,1,544,0,870,100,870,
26,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20322540,3,APARTMENT,APARTMENT,Antwerpen,2000,Hoogstraat,36,0,,425000,0,1,28,0,0,AS_NEW,0,0,0,,126,,
27,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20293996,3,APARTMENT,APARTMENT,Ixelles,1050,Square De Biarritz - Biarritzsquare,4,1,2,570000,0,1,15,0,0,GOOD,0,0,0,,122,,
29,https://www.immoweb.be/en/classified/apartment/for-sale/walem/2800/20295309,2,APARTMENT,APARTMENT,WALEM,2800,Koning Albertstraat,67,1,2,245000,0,1,12,0,0,AS_NEW,0,0,0,,78,,
32,https://www.immoweb.be/en/classified/country-cottage/for-sale/steenkerque/7090/20317953,3,HOUSE,COUNTRY_COTTAGE,STEENKERQUE,7090,"Chemin du Bois des Aulnes, 4",,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
30,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20315041,3,HOUSE,HOUSE,Gent,9000,Koekoeklaan,54,1,,595000,0,1,,0,0,TO_BE_DONE_UP,1,320,0,406,221,406,
31,https://www.immoweb.be/en/classified/country-cottage/for-sale/rebecq-rognon/1430/20319150,3,HOUSE,COUNTRY_COTTAGE,REBECQ-ROGNON,1430,"Chemin du Bois des Aulnes, 4",,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
33,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20315503,4,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,Rue au Bois,85,1,2,670000,0,0,0,0,0,TO_RENOVATE,1,170,0,270,180,270,
35,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/20310553,2,HOUSE,HOUSE,NIVELLES,1400,Parvis Notre-Dame,22,1,2,260000,0,1,30,0,0,GOOD,1,70,0,135,140,135,
36,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20310291,3,HOUSE,HOUSE,Gavere,9890,Onderstraat,39,1,2,459000,0,1,50,0,0,TO_BE_DONE_UP,1,179,0,309,430,309,
37,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20315651,1,APARTMENT,APARTMENT,SINT-NIKLAAS,9100,Koningin Fabiolapark,346,1,,125000,0,1,10,0,0,TO_RENOVATE,0,0,0,,68,,
