house_index,bedrooms,property_type,property_subtype,locality,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
3,2,APARTMENT,PENTHOUSE,Bruxelles,NOT_INSTALLED,2,239000,False,,,False,,GOOD,,,False,,95,,
4,2,APARTMENT,LOFT,Diksmuide,INSTALLED,,299000,False,True,,False,,GOOD,,,,,115,,
0,2,APARTMENT,PENTHOUSE,Wellen,HYPER_EQUIPPED,,380000,,True,16,False,,AS_NEW,,,,,159,,
6,,,,,,,,,,,,,,,,,,,,
2,2,APARTMENT,APARTMENT,Jodoigne,INSTALLED,2,179000,False,True,15,False,,TO_BE_DONE_UP,True,5,False,,97,,
1,2,APARTMENT,APARTMENT,Jauche,INSTALLED,2,179000,False,True,15,False,,TO_BE_DONE_UP,True,5,False,,97,,
5,3,APARTMENT,APARTMENT,Gent,,,365000,False,True,7,False,,,,,,,124,,
7,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,3,HOUSE,HOUSE,DUFFEL,,,348000,,True,33,False,,GOOD,,,,92,195,92,
10,5,HOUSE,VILLA,LIPPELO,INSTALLED,4,649000,,True,75,False,,GOOD,,,True,593,174,593,
13,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,299500,,True,7,False,,JUST_RENOVATED,,,,,79,,
11,4,HOUSE,HOUSE,ANTWERPEN,INSTALLED,2,665000,,True,23,False,,GOOD,,,,94,192,94,
12,2,APARTMENT,APARTMENT,Zeebrugge,INSTALLED,2,294000,,True,,False,,GOOD,,,,,58,,
14,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,299500,,True,7,False,,JUST_RENOVATED,,,,,79,,
15,2,APARTMENT,APARTMENT,MECHELEN,INSTALLED,2,305000,,True,7,False,,JUST_RENOVATED,,,,,80,,
17,3,HOUSE,HOUSE,Waremme,SEMI_EQUIPPED,3,250000,False,True,15,False,,GOOD,True,500,False,805,110,805,
16,2,APARTMENT,APARTMENT,Knokke,HYPER_EQUIPPED,2,525000,True,True,,False,,GOOD,,,,,80,,
18,3,HOUSE,HOUSE,ECAUSSINNES-D'ENGHIEN,INSTALLED,3,280000,,,,False,,GOOD,,,,235,166,235,
19,4,HOUSE,HOUSE,Oudenaarde,,2,284500,False,True,,False,,,,,,553,197,553,
20,3,HOUSE,HOUSE,Sint-Pieters-Leeuw,NOT_INSTALLED,,330000,False,,,False,,TO_RENOVATE,True,45,,114,170,114,
21,2,HOUSE,HOUSE,Sint-Kruis-Winkel,INSTALLED,,349000,,,,False,,GOOD,True,850,,1056,160,1056,
22,5,HOUSE,HOUSE,Aalst (9300),SEMI_EQUIPPED,,349000,,,,False,,TO_RENOVATE,,,,2890,205,2890,
23,5,HOUSE,HOUSE,Denderhoutem,SEMI_EQUIPPED,,349000,,,,False,,TO_RENOVATE,,,,2890,205,2890,
24,3,HOUSE,HOUSE,Aalst (9300),,,375000,,,,False,,TO_RENOVATE,,,,464,200,464,
26,3,HOUSE,HOUSE,DESTELBERGEN,,,389000,,,,False,,GOOD,,,,180,96,180,
25,3,HOUSE,HOUSE,Berlare,HYPER_EQUIPPED,4,379000,,True,,False,,AS_NEW,,,False,300,160,300,
27,5,HOUSE,APARTMENT_BLOCK,Sint-Joost-ten-Node,SEMI_EQUIPPED,2,470000,False,True,16,False,,GOOD,,,False,98,230,98,
29,3,HOUSE,HOUSE,Zottegem,HYPER_EQUIPPED,,559000,False,,,False,,GOOD,,,,622,207,622,
28,4,HOUSE,VILLA,Alken,INSTALLED,,520000,,,,False,,GOOD,,,,1168,310,1168,
30,2,APARTMENT,APARTMENT,GENT,HYPER_EQUIPPED,2,445000,,,,False,,JUST_RENOVATED,,,,,105,,
31,3,HOUSE,HOUSE,Fléron Romsée,INSTALLED,2,220000,False,True,35,False,,TO_BE_DONE_UP,True,150,False,137,138,137,
32,2,APARTMENT,APARTMENT,Molenbeek-Saint-Jean,,,275000,False,True,26,True,1,AS_NEW,,,False,,110,,
34,2,APARTMENT,APARTMENT,Berchem-Sainte-Agathe,,,275000,False,True,26,True,1,AS_NEW,,,False,,110,,
33,2,APARTMENT,APARTMENT,Koekelberg,,,275000,False,True,26,True,1,AS_NEW,,,False,,110,,
35,2,APARTMENT,APARTMENT,Ixelles,INSTALLED,2,295000,False,True,3,False,,TO_RENOVATE,,,False,,83,,
38,2,APARTMENT,APARTMENT,BRUXELLES,INSTALLED,2,695000,,True,,False,,JUST_RENOVATED,,,,,150,,
36,2,APARTMENT,APARTMENT,Lochristi,INSTALLED,,349000,False,True,2,False,,GOOD,,,,,120,,
37,4,APARTMENT,APARTMENT,Aalst,INSTALLED,2,549000,,True,15,False,,GOOD,,,,,180,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,1,APARTMENT,APARTMENT,SINT-JANS-MOLENBEEK,,2,165000,,True,11,False,,GOOD,,,,,55,,
42,3,APARTMENT,APARTMENT,BERCHEM,INSTALLED,2,319000,,True,4,False,,JUST_RENOVATED,,,,,100,,
43,3,APARTMENT,PENTHOUSE,DEURNE,INSTALLED,2,400000,,True,110,False,,GOOD,,,,,152,,UnderOption
44,3,APARTMENT,APARTMENT,DEURNE,INSTALLED,2,400000,,True,110,False,,GOOD,,,,,152,,UnderOption
47,3,APARTMENT,APARTMENT,HARELBEKE,INSTALLED,2,239000,,,,False,,JUST_RENOVATED,,,,,99,,
48,2,APARTMENT,APARTMENT,Izegem,HYPER_EQUIPPED,,285000,False,,,False,,GOOD,,,,,89,,
45,3,HOUSE,HOUSE,Oudenaarde,,4,299000,False,True,,False,,TO_RENOVATE,,,,811,169,811,
46,4,HOUSE,VILLA,Londerzeel,,4,595000,,True,,False,,AS_NEW,True,1900,,2406,226,2406,
49,2,APARTMENT,APARTMENT,Stekene,HYPER_EQUIPPED,,360000,True,True,,False,,GOOD,,,,,94,,
50,1,APARTMENT,APARTMENT,Gent,INSTALLED,,435000,,,,False,,GOOD,,,,,68,,
51,1,APARTMENT,APARTMENT,Gent,INSTALLED,,435000,,,,False,,GOOD,,,,,66,,
52,2,APARTMENT,APARTMENT,Gent,HYPER_EQUIPPED,,525000,False,True,11,False,,JUST_RENOVATED,,,,,84,,
55,5,HOUSE,VILLA,Estaimpuis,INSTALLED,,566500,,True,,False,,GOOD,,,,2430,385,2430,
53,2,APARTMENT,APARTMENT,Gent,INSTALLED,,585000,,,,False,,GOOD,,,,,110,,
54,2,APARTMENT,APARTMENT,Gent,INSTALLED,,745000,,,,False,,GOOD,,,,,138,,
57,3,HOUSE,COUNTRY_COTTAGE,STEENKERQUE,,4,650000,,True,40,False,,,True,600,,1315,300,1315,
56,3,HOUSE,COUNTRY_COTTAGE,REBECQ-ROGNON,,4,650000,,True,40,False,,,True,600,,1315,300,1315,
60,2,APARTMENT,APARTMENT,Liège,INSTALLED,4,169000,,True,8,False,,,,,,,94,,
58,2,HOUSE,HOUSE,NIVELLES,INSTALLED,2,260000,,True,30,False,,GOOD,True,70,,135,140,135,
59,3,HOUSE,HOUSE,Saint-Nicolas,INSTALLED,4,289000,True,True,20,False,,AS_NEW,True,492,False,600,141,600,
61,2,APARTMENT,APARTMENT,Oostende,,,595000,False,True,,False,,JUST_RENOVATED,,,,,104,,
62,3,HOUSE,MIXED_USE_BUILDING,ANTWERPEN,,2,289000,,True,,False,,TO_RENOVATE,,,,181,269,181,
63,3,HOUSE,HOUSE,WILRIJK,,2,299000,,,,False,,AS_NEW,True,40,,145,132,145,
64,4,HOUSE,MANSION,ANTWERPEN,SEMI_EQUIPPED,2,310000,,,,False,,TO_RENOVATE,True,166,,283,337,283,
66,3,HOUSE,HOUSE,FARCIENNES,SEMI_EQUIPPED,3,350000,,True,38,True,2,GOOD,,,,2783,165,2783,
65,4,HOUSE,HOUSE,EVERGEM,SEMI_EQUIPPED,3,345000,,,,False,,TO_BE_DONE_UP,,,,717,178,717,
67,4,HOUSE,HOUSE,Overijse,INSTALLED,4,549000,False,True,40,False,,GOOD,True,350,False,767,176,767,
68,3,HOUSE,HOUSE,Gent,INSTALLED,,595000,,True,,False,,TO_BE_DONE_UP,True,320,,406,221,406,
69,4,HOUSE,HOUSE,Woluwe-Saint-Pierre,NOT_INSTALLED,2,670000,False,,,False,,TO_RENOVATE,True,170,False,270,180,270,
70,5,HOUSE,HOUSE,ASSENEDE,INSTALLED,4,715000,,True,,False,,GOOD,,,,1080,374,1080,
71,3,HOUSE,APARTMENT_BLOCK,Uccle,INSTALLED,2,725000,False,,,False,,TO_RENOVATE,True,100,False,177,195,177,
73,1,APARTMENT,APARTMENT,Westende,,,199500,True,True,,False,,GOOD,,,,,61,,
74,3,APARTMENT,APARTMENT,Oostende,INSTALLED,,269000,False,,,False,,GOOD,,,,,132,,
72,5,HOUSE,VILLA,Kapelle-op-den-Bos,,4,794000,,True,,False,,AS_NEW,True,760,,1194,235,1194,
